food_code,food_description,method,method_description,nhanes,price_100gm
27515010,"Steak sandwich, plain, on roll",4,FNDDS recipe with replaced or modified SR codes,Base,1.436269
27515020,"Steak and cheese submarine sandwich, with lettuce and tomato (Includes Subway Steak & Cheese Sub; Jerry's Steak Sub with cheese)",1,Links to FNDDS,Base,1.199634
27515030,"Steak and cheese sandwich, plain, on roll",4,FNDDS recipe with replaced or modified SR codes,Base,1.275411
27515040,"Steak and cheese submarine sandwich, plain, on roll",4,FNDDS recipe with replaced or modified SR codes,Base,1.184742
27515070,"Steak and cheese submarine sandwich, with fried peppers and onions, on roll (Includes Philadelphia-style cheese steak submarine sandwich; Arby's Philly Beef N' Swiss; Subway's Big Philly Cheesesteak)",4,FNDDS recipe with replaced or modified SR codes,Base,1.059209
27515080,"Steak sandwich, plain, on biscuit (Includes Jimmy Dean Steak Biscuit; Mom 'N' Pops Steak Biscuit; McDonald's Steak Biscuit; Hardee's Steak Biscuit)",1,Links to FNDDS,Base,0.892418
27516010,"Gyro sandwich (pita bread, beef, lamb, onion, condiments), with tomato and spread",1,Links to FNDDS,Base,1.121336
27517000,"Hamburger wrap sandwich, from fast food (Includes on tortilla; with or without cheese; homemade or other place)",1,Links to FNDDS,Base,1.972522
27520150,"Bacon, lettuce, and tomato sandwich with spread",4,FNDDS recipe with replaced or modified SR codes,Base,0.851989
27520155,"Bacon, lettuce, and tomato submarine sandwich, with spread (Includes Subway B.L.T Sub)",2,Links to altEC,Base,1.96235
27520156,"Bacon, lettuce, tomato, and cheese submarine sandwich, with spread (Includes Subway B.L.T Sub with cheese)",4,FNDDS recipe with replaced or modified SR codes,Base,1.212305
27520170,Bacon on biscuit (Includes Hardee's Bacon Biscuit),4,FNDDS recipe with replaced or modified SR codes,Base,1.112118
27520250,Ham on biscuit (Includes Hardee's Ham Biscuit; Hardee's Country Ham Biscuit),2,Links to altEC,Base,0.985908
27520320,"Ham and cheese sandwich, with lettuce and spread",1,Links to FNDDS,Base,1.992367
27520370,"Hot ham and cheese sandwich, on bun (Includes Arby's Hot Ham and Cheese Sandwich; Burger King Hot Ham and Cheese Sandwich; Hardee's Hot Ham and Cheese Sandwich; Hardee's Big Hot Ham 'N' Cheese Sandwich)",4,FNDDS recipe with replaced or modified SR codes,Base,0.789859
27520390,"Ham and cheese submarine sandwich, with lettuce, tomato and spread (Includes Jerry's Ham & Cheese Sub; Subway Ham Sub with cheese)",1,Links to FNDDS,Base,1.96235
27520410,"Cuban sandwich, with spread (Includes Sandwich cubano)",4,FNDDS recipe with replaced or modified SR codes,Base,0.717014
27520500,"Pork sandwich, on white roll, with onions, dill pickles and barbecue sauce (Includes McDonald's McRib sandwich)",1,Links to FNDDS,Base,1.186951
27520510,"Pork barbecue sandwich or Sloppy Joe, on bun",4,FNDDS recipe with replaced or modified SR codes,Base,0.571924
27540110,"Sliced chicken sandwich, with spread (Includes with lettuce and tomato; roast chicken sandwich)",1,Links to FNDDS,Base,1.337897
27540139,"Chicken fillet sandwich, from school cafeteria (Includes chicken patty)",2,Links to altEC,Base,1.208974
27540145,"Chicken fillet biscuit, from fast food (Includes homemade or other place)",1,Links to FNDDS,Base,1.235314
27540146,"Chicken fillet sandwich, fried, from fast food (Includes patty; crispy; breaded; on bun, bread or roll)",2,Links to altEC,Base,1.208974
27540147,"Chicken fillet sandwich, fried, from fast food, with cheese (Includes patty; crispy; breaded; on bun, bread or roll; NS as to cheese)",2,Links to altEC,Base,1.208974
27540152,"Chicken fillet sandwich, grilled, from fast food (Includes patty; on bun, bread or roll)",2,Links to altEC,Base,1.208974
27540153,"Chicken fillet sandwich, grilled, from fast food, with cheese (Includes patty; on bun, bread or roll; NS as to cheese)",2,Links to altEC,Base,1.208974
27540175,"Chicken fillet sandwich, fried, on white bun (Includes patty; crispy; breaded; on bread or roll; NS as to grain)",2,Links to altEC,Base,1.208974
27540176,"Chicken fillet sandwich, fried, on white bun; with cheese (Includes patty; crispy; breaded; on bread or roll; NS as to grain; NS as to cheese)",2,Links to altEC,Base,1.208974
27540195,"Chicken fillet sandwich, grilled, on white bun (Includes patty; on bread or roll; NS as to grain)",2,Links to altEC,Base,1.208974
27540196,"Chicken fillet sandwich, grilled, on white bun, with cheese (Includes patty; on bread or roll; NS as to grain; NS as to cheese)",2,Links to altEC,Base,1.208974
27540205,"Chicken fillet sandwich, grilled, on wheat bun (Includes patty; on bread or roll; multigrain, whole grain, or whole wheat)",2,Links to altEC,Base,1.208974
27540210,"Chicken fillet wrap sandwich, fried, from fast food (Includes patty; crispy; breaded; on tortilla; with or without cheese; homemade or other place; NS as to fried or grilled)",2,Links to altEC,Base,1.810945
27540285,"Chicken, bacon, and tomato club sandwich, with lettuce and spread (Includes Subway Turkey and Ham Sub; Jerry's Club Sub; Subway's Chicken and Bacon Ranch Melt)",1,Links to FNDDS,Base,1.345414
27540290,"Chicken submarine sandwich, with lettuce, tomato and spread (Includes Subway Oven Roasted Chicken Breast; Subway Sweet Onion Chicken Teriyaki; Jerry's Grilled Chicken)",2,Links to altEC,Base,1.897441
27540291,"Chicken submarine sandwich, with cheese, lettuce, tomato and spread (Includes Subway Oven Roasted Chicken Breast with cheese; Subway Sweet Onion Chicken Teriyaki with cheese; Jerry's Grilled Chicken with cheese)",2,Links to altEC,Base,1.897441
27540295,Buffalo chicken submarine sandwich (Includes Subway's Buffalo Chicken),2,Links to altEC,Base,1.897441
27540296,Buffalo chicken submarine sandwich with cheese (Includes Subway's Buffalo Chicken with cheese),2,Links to altEC,Base,1.897441
27540300,"Chicken fillet wrap sandwich, grilled, from fast food (Includes patty; on tortilla; with or without cheese; homemade or other place)",1,Links to FNDDS,Base,1.810945
27540310,"Turkey sandwich, with spread (Includes sliced, roast turkey sandwich)",1,Links to FNDDS,Base,1.60521
27540350,"Turkey submarine sandwich, with cheese, lettuce, tomato and spread (Includes Arby's Turkey Sub; Subway Turkey Breast Sub; Jerry's Turkey Breast Sub)",1,Links to FNDDS,Base,1.897441
27540361,"Turkey and bacon submarine sandwich, with cheese, lettuce, tomato and spread (Includes Subway's Turkey and Bacon Avocado with cheese; Subway Melt)",2,Links to altEC,Base,1.897441
27541000,"Turkey, ham, and roast beef club sandwich, with lettuce, tomato and spread (Includes Subway Club)",4,FNDDS recipe with replaced or modified SR codes,Base,0.738363
27541001,"Turkey, ham, and roast beef club sandwich with cheese, lettuce, tomato, and spread (Includes Subway Club with cheese)",2,Links to altEC,Base,1.778178
27545100,"Turkey or chicken burger, on white bun (Includes homemade; bun, NFS)",2,Links to altEC,Base,2.164548
27545110,"Turkey or chicken burger, on wheat bun (Includes homemade; any size patty)",2,Links to altEC,Base,2.164548
27550000,"Fish sandwich, fried, from fast food (Includes fillet; crispy; breaded)",1,Links to FNDDS,Base,0.814755
27550100,"Fish sandwich, fried, from fast food, with cheese (Includes fillet; crispy; breaded; NS as to cheese; McDonalds Fish sandwich)",2,Links to altEC,Base,0.814755
27550720,"Tuna salad sandwich, on bread (Includes tuna fish; English muffin)",1,Links to FNDDS,Base,2.131354
27550730,"Tuna salad sandwich, on bread, with cheese (Includes tuna melt; tuna fish; English muffin)",2,Links to altEC,Base,2.131354
27550740,"Tuna salad sandwich, on bun (Includes tuna fish; roll; submarine; Subway Tuna Sub)",2,Links to altEC,Base,2.131354
27550745,"Tuna salad sandwich, on bun, with cheese (Includes tuna fish; roll; submarine; Subway Tuna Sub with cheese)",2,Links to altEC,Base,2.131354
27560300,"Corn dog, frankfurter or hot dog with cornbread coating (Includes all meats / poultry)",1,Links to FNDDS,Base,0.740335
27560350,"Pig in a blanket, frankfurter or hot dog wrapped in dough",4,FNDDS recipe with replaced or modified SR codes,Base,0.621346
27560500,"Pepperoni and salami submarine sandwich, with lettuce, tomato and spread (Includes Subway Spicy Italian Sub)",4,FNDDS recipe with replaced or modified SR codes,Base,0.664105
27560650,Sausage on biscuit (Includes Jimmy Dean Sausage Biscuit; McDonald's Sausage Biscuit; Hardee's Sausage Biscuit),1,Links to FNDDS,Base,0.985908
27560660,Sausage griddle cake sandwich (Includes McDonald's Sausage McGriddles),1,Links to FNDDS,Base,1.081161
